id,escenario,nivel,fraccion,variante,algoritmo,arranque,replica,semilla,presupuesto_ms,commit,estado,minuto_final,pedidos_base,pedidos_instancia,pedidos_registrados,pedidos_entregados,pedidos_incumplidos,pedidos_pendientes,pct_cumplimiento,minuto_primer_incumplido,paquetes_entregados,costo_total,km_total,costo_por_pedido,llamadas,llamadas_fuera_presupuesto,ms_mediana,ms_p90,ms_max,v1_invalidas,v2_incoherentes,saturacion_almacenes_pct,tiempo_pared_s,validez,pct_llamadas_en_presupuesto,minuto_primer_incumplido_c,censurado,sin_incumplidos
5D_N3_ALNS-C_r08,5D,N3,0.75,ALNS-C,ALNS,calido,8,20260908,2000,539370b,CULMINADA,7200,1963,1446,1446,1413,2,31,99.859,1398,5716,115477.0,19808,81.725,266,0,1950.149,1950.629,1954.918,0,0,48.5,508.377,True,100.0,1398,False,False
5D_N3_ALNS-C_r09,5D,N3,0.75,ALNS-C,ALNS,calido,9,20260909,2000,539370b,CULMINADA,7200,1963,1485,1485,1452,7,26,99.52,840,5698,116741.0,20125,80.4,266,0,1950.137,1950.501,1953.258,0,0,44.4,508.222,True,100.0,840,False,False
5D_N3_ALNS-C_r10,5D,N3,0.75,ALNS-C,ALNS,calido,10,20260910,2000,539370b,CULMINADA,7200,1963,1491,1491,1457,5,29,99.658,897,5924,121216.0,20759,83.196,266,0,1950.131,1950.42,1955.037,0,0,46.5,504.356,True,100.0,897,False,False
5D_N3_ALNS-F_r01,5D,N3,0.75,ALNS-F,ALNS,constructivo,1,20260901,2000,539370b,CULMINADA,7200,1963,1474,1474,1436,4,34,99.722,897,5691,117299.0,20151,81.685,266,0,1950.129,1950.418,1954.565,0,0,43.9,510.153,True,100.0,897,False,False
5D_N3_ALNS-F_r02,5D,N3,0.75,ALNS-F,ALNS,constructivo,2,20260902,2000,539370b,CULMINADA,7200,1963,1512,1512,1476,7,29,99.528,798,5920,117471.0,20211,79.587,266,0,1950.141,1950.474,1953.178,0,0,43.0,510.26,True,100.0,798,False,False
5D_N3_ALNS-F_r03,5D,N3,0.75,ALNS-F,ALNS,constructivo,3,20260903,2000,539370b,CULMINADA,7200,1963,1486,1486,1447,7,32,99.519,840,5749,118644.0,20390,81.993,266,0,1950.119,1950.503,1955.479,0,0,46.8,510.134,True,100.0,840,False,False
5D_N3_ALNS-F_r04,5D,N3,0.75,ALNS-F,ALNS,constructivo,4,20260904,2000,539370b,CULMINADA,7200,1963,1491,1491,1455,7,29,99.521,897,5517,116330.0,20105,79.952,266,0,1950.132,1950.416,1953.874,0,0,38.4,506.316,True,100.0,897,False,False
5D_N3_ALNS-F_r05,5D,N3,0.75,ALNS-F,ALNS,constructivo,5,20260905,2000,539370b,CULMINADA,7200,1963,1451,1451,1412,6,33,99.577,840,5520,114878.0,19676,81.358,266,0,1950.139,1950.458,1953.538,0,0,41.7,506.343,True,100.0,840,False,False
5D_N3_ALNS-F_r06,5D,N3,0.75,ALNS-F,ALNS,constructivo,6,20260906,2000,539370b,CULMINADA,7200,1963,1504,1504,1474,6,24,99.595,840,5952,120322.0,20781,81.63,266,0,1950.137,1950.436,1952.882,0,0,43.6,510.206,True,100.0,840,False,False
5D_N3_ALNS-F_r07,5D,N3,0.75,ALNS-F,ALNS,constructivo,7,20260907,2000,539370b,CULMINADA,7200,1963,1476,1476,1447,5,24,99.656,840,5813,119881.0,20618,82.848,266,0,1950.127,1950.436,1952.844,0,0,43.6,510.176,True,100.0,840,False,False
5D_N3_ALNS-F_r08,5D,N3,0.75,ALNS-F,ALNS,constructivo,8,20260908,2000,539370b,CULMINADA,7200,1963,1446,1446,1403,10,33,99.292,840,5648,114450.0,19558,81.575,266,0,1950.125,1950.392,1953.581,0,0,44.3,508.306,True,100.0,840,False,False
5D_N3_ALNS-F_r09,5D,N3,0.75,ALNS-F,ALNS,constructivo,9,20260909,2000,539370b,CULMINADA,7200,1963,1485,1485,1445,8,32,99.449,840,5631,116235.0,19931,80.439,266,0,1950.118,1950.358,1952.638,0,0,42.5,508.125,True,100.0,840,False,False
5D_N3_ALNS-F_r10,5D,N3,0.75,ALNS-F,ALNS,constructivo,10,20260910,2000,539370b,CULMINADA,7200,1963,1491,1491,1454,6,31,99.589,897,5883,121658.0,20986,83.671,266,0,1950.135,1950.461,1954.655,0,0,43.1,504.394,True,100.0,897,False,False
5D_N3_HGS_r01,5D,N3,0.75,HGS,HGS,constructivo,1,20260901,2000,539370b,CULMINADA,7200,1963,1474,1474,1435,2,37,99.861,798,5737,131194.0,21689,91.424,266,0,1950.128,1950.419,1951.147,0,0,41.6,510.108,True,100.0,798,False,False
5D_N3_HGS_r02,5D,N3,0.75,HGS,HGS,constructivo,2,20260902,2000,539370b,CULMINADA,7200,1963,1512,1512,1474,5,33,99.662,798,5949,134357.0,22361,91.151,266,0,1950.133,1950.444,1952.289,0,0,49.4,510.16,True,100.0,798,False,False
5D_N3_HGS_r03,5D,N3,0.75,HGS,HGS,constructivo,3,20260903,2000,539370b,CULMINADA,7200,1963,1486,1486,1452,3,31,99.794,2773,5815,135499.0,22273,93.319,266,0,1950.183,1950.534,1954.311,0,0,43.8,510.375,True,100.0,2773,False,False
5D_N3_HGS_r04,5D,N3,0.75,HGS,HGS,constructivo,4,20260904,2000,539370b,CULMINADA,7200,1963,1491,1491,1452,4,35,99.725,897,5535,129476.0,21513,89.171,266,0,1950.13,1950.423,1951.734,0,0,44.2,506.241,True,100.0,897,False,False
5D_N3_HGS_r05,5D,N3,0.75,HGS,HGS,constructivo,5,20260905,2000,539370b,CULMINADA,7200,1963,1451,1451,1412,5,34,99.647,840,5586,129019.0,21303,91.373,266,0,1950.136,1950.455,1951.459,0,0,41.6,506.41,True,100.0,840,False,False
5D_N3_HGS_r06,5D,N3,0.75,HGS,HGS,constructivo,6,20260906,2000,539370b,CULMINADA,7200,1963,1504,1504,1474,1,29,99.932,1354,5975,140091.0,22967,95.041,266,0,1950.177,1950.547,1953.793,0,0,48.1,510.343,True,100.0,1354,False,False
5D_N3_HGS_r07,5D,N3,0.75,HGS,HGS,constructivo,7,20260907,2000,539370b,CULMINADA,7200,1963,1476,1476,1439,5,32,99.654,5181,5745,134747.0,22124,93.639,266,0,1950.133,1950.409,1951.305,0,0,39.7,510.144,True,100.0,5181,False,False
5D_N3_HGS_r08,5D,N3,0.75,HGS,HGS,constructivo,8,20260908,2000,539370b,CULMINADA,7200,1963,1446,1446,1410,2,34,99.858,897,5712,128979.0,21534,91.474,266,0,1950.139,1950.428,1952.517,0,0,42.3,508.201,True,100.0,897,False,False
